area_name,retailer_name,googlemap
canggu,alive wholefoods store,https://goo.gl/maps/TJovu4fXxT2YkNQy5
canggu,bali direct,https://goo.gl/maps/Ugc1SCRbaye9kaR98
canggu,bali healing,https://goo.gl/maps/vK6VsjKCUfmw7eL98
canggu,campur asia,https://g.page/CampurAsia?share
canggu,cassava,https://goo.gl/maps/wDG6aGX5hpyAJ1Hy6
canggu,cook & bakery,https://g.page/CookandbakerbyAurora?share
canggu,dreamsea,https://goo.gl/maps/fCeH2UbNZSSFHQSc8
canggu,from farm,https://goo.gl/maps/y5uKsontAmJpkC9W9
canggu,koi brawa,https://goo.gl/maps/LLa3jXQb84zxseYJ6
canggu,Koi batu bolong,https://goo.gl/maps/LLa3jXQb84zxseYJ6
canggu,in the raw,https://g.page/beachgarden---organic-kitchen?share
canggu,nirvana strength,https://g.page/NirvanaStrength?share
canggu,odyssey,https://goo.gl/maps/konqjaTjG1yeRz8N6
canggu,serenity,https://g.page/Serenitybali?share
canggu,shady shack,https://goo.gl/maps/CZpe6YFZAD5RfKca9
canggu,taman nauli,https://goo.gl/maps/ypNSs9M8Bp88H8yk7
canggu,the loft,https://g.page/theloftbali?share
canggu,vida cafe,https://g.page/cafevidabali?share
canggu,vinny's warung,https://goo.gl/maps/x1B66VcWytzNndLL6
seminyak,the amala,https://goo.gl/maps/tFNrASUZkttDxyKr7
seminyak,padma resort legian,https://g.page/padmaresortlegian?share
ubud,alchemy,https://g.page/Alchemy-Ubud-Bali?share
ubud,dragonfly,https://goo.gl/maps/2rfdZ3LoNVXNaPYT6
ubud,garden cafe at yoga barn,https://goo.gl/maps/kVbAWjgBHion5WG18
ubud,green habit,https://g.page/Greenh-habit-ubud?share
ubud,healing center at yoga barn,https://goo.gl/maps/eqpF2nL7cVN22R6y8
ubud,kios,https://goo.gl/maps/odvJU9UzAQ7UqtDr6
ubud,radiantly alive,https://goo.gl/maps/9rXKzLXaBBthKKiM6
ubud,seed of life,https://goo.gl/maps/VrkRY5qho7YYBx7t7
ubud,sayuri,https://goo.gl/maps/qNqixtKDezrxipFK7
ubud,soulshine,https://g.page/soulshinebalihotel?share
ubud,swasti,https://goo.gl/maps/EtFoirjWHnF2VAYt7
ubud,ubud yoga,https://goo.gl/maps/DGgWEDc45zATx5PD8
ubud,wayan juicebar,https://goo.gl/maps/396yPGujF8YXbvEf7
bingin,cashew tree,https://goo.gl/maps/PKNsw9BEK26scCJ98
bingin,dreamsea,https://goo.gl/maps/FWA2B4JXWsrwomcG6
padang padang,bukit cafe,https://g.page/Bukitcafebali?share
padang padang,la casa loca,https://g.page/lacasalocabali?share
padang padang,livingwell inn,https://goo.gl/maps/q5seJtpHxqvMVejR7
padang padang,ours,https://goo.gl/maps/bFbnkVXSfZTXU5Cb8padang
padang padang,the loft,https://g.page/theloftuluwatu?share
padang padang,rosella,https://goo.gl/maps/E7Hbqrj9DkmH7ShH7
pecatu,he’enalu,https://g.page/HeenaluUluwatu?share
ungansan,livingwell,https://g.page/livingwellbali?share
nusa dua,revivo,https://g.page/revivoresorts?share
gili trawangan,kayu cafe,https://goo.gl/maps/1qR4nkEbprMhpWQc8
gili air,flowers & fire,https://goo.gl/maps/Wg9XXEnaARKyLK6B7
