area_name,retailer_name,googlemap
canggu,cassava,https://goo.gl/maps/wDG6aGX5hpyAJ1Hy6
canggu,koi,https://goo.gl/maps/LLa3jXQb84zxseYJ6
canggu,the loft,https://g.page/theloftbali?share
canggu,vida cafe,https://g.page/cafevidabali?share
canggu,campur asia,https://g.page/CampurAsia?share
canggu,bali healing,https://goo.gl/maps/vK6VsjKCUfmw7eL98
canggu,in the raw,https://g.page/beachgarden---organic-kitchen?share
canggu,taman nauli,https://goo.gl/maps/ypNSs9M8Bp88H8yk7
canggu,serenity,https://g.page/Serenitybali?share
canggu,shady shack,https://goo.gl/maps/CZpe6YFZAD5RfKca9
canggu,bali direct,https://goo.gl/maps/Ugc1SCRbaye9kaR98
canggu,dreamsea,https://goo.gl/maps/fCeH2UbNZSSFHQSc8
ubud,garden cafe at yoga barn,https://goo.gl/maps/kVbAWjgBHion5WG18
ubud,healing center at yoga barn,https://goo.gl/maps/eqpF2nL7cVN22R6y8
ubud,alchemy,https://g.page/Alchemy-Ubud-Bali?share
ubud,radiantly alive,https://goo.gl/maps/9rXKzLXaBBthKKiM6
ubud,seed of life,https://goo.gl/maps/VrkRY5qho7YYBx7t7
ubud,swasti,
ubud,ubud yoga,
ubud,wayan juicery,
ubud,green habit,
ubud,kios,
ubud,ubud yoga,
bingin,ours,
bingin,bukit cafe,
bingin,cashew tree,
bingin,budasoul,
bingin,he’enalu,
bingin,rosella,
bingin,the loft,
bingin,revivo,
bingin,dreamsea,
bingin,living well,
bingin,casa loca,
gili trawangan,kayu cafe,
gili air,flowers & fire,
